Run #,Blockchain Length,1 Blocks Flipped,2 Blocks Flipped,3 Blocks Flipped,4 Blocks Flipped,5 Blocks Flipped,6 Blocks Flipped,7 Blocks Flipped,8 Blocks Flipped,9 Blocks Flipped,10 Blocks Flipped,11 Blocks Flipped,12 Blocks Flipped,13 Blocks Flipped,14 Blocks Flipped,15 Blocks Flipped,16 Blocks Flipped,17 Blocks Flipped,18 Blocks Flipped,19 Blocks Flipped,20 Blocks Flipped,21 Blocks Flipped,22 Blocks Flipped,23 Blocks Flipped,24 Blocks Flipped,25 Blocks Flipped,26 Blocks Flipped,27 Blocks Flipped,28 Blocks Flipped,29 Blocks Flipped,30 Blocks Flipped,Total Flipped Blocks,Total Switches
1,53,12,7,3,6,5,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,40
2,51,8,8,4,5,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,35
3,53,11,8,3,5,3,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,38
4,49,15,5,1,5,3,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,41
5,50,8,5,8,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,30
6,54,9,7,7,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,40
7,52,5,8,3,5,1,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,30
8,54,17,5,7,8,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,47
9,52,10,5,5,4,5,1,2,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172,39
10,51,12,3,3,4,2,0,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,32
11,52,7,5,3,3,7,3,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,37
12,53,10,6,3,6,3,4,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,40
13,52,15,6,5,4,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,37
14,53,10,9,6,5,1,3,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,40
15,52,14,9,3,3,4,1,0,2,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,215,44
16,53,8,7,4,9,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,38
17,54,9,7,5,6,2,1,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155,36
18,52,8,9,6,5,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,40
19,52,10,5,0,7,2,4,0,2,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,38
20,52,5,8,4,4,2,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,31
21,53,5,7,6,3,6,0,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,34
22,53,6,9,3,3,4,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,33
23,51,10,9,5,7,2,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,45
24,53,9,5,3,3,3,4,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,35
25,55,10,9,5,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,43
26,49,11,7,7,3,2,2,1,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,40
27,53,6,8,3,4,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,32
28,48,8,5,6,6,4,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,41
29,55,9,9,2,4,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,31
30,54,5,9,8,4,2,1,2,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,39
31,50,6,7,3,2,4,1,2,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,31
32,54,10,8,5,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,35
33,53,9,6,9,3,2,3,2,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,43
34,52,7,5,7,4,3,5,0,1,1,3,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,232,41
35,54,14,2,5,1,3,3,3,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,36
36,50,10,10,5,3,4,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,39
37,52,9,10,13,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,37
38,52,13,8,5,5,3,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,44
39,49,5,5,10,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,31
40,54,7,9,3,4,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,29
41,51,9,7,8,3,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,38
42,52,10,7,4,3,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,35
43,54,10,10,1,4,6,3,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,41
44,53,7,5,8,6,2,3,2,1,1,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238,44
45,52,6,11,4,6,4,2,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,40
46,52,6,7,6,5,4,2,3,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,41
47,53,7,7,1,3,2,6,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,30
48,51,13,7,2,6,3,2,3,2,2,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224,47
49,52,14,5,4,6,0,2,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,40
50,53,7,6,5,6,5,4,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,40
51,53,14,9,5,3,5,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,46
52,51,7,8,6,3,4,4,3,2,0,1,1,3,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,294,48
53,52,4,5,4,4,5,7,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,38
54,53,8,10,5,5,2,0,1,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,38
55,54,12,4,4,2,2,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137,34
56,52,9,11,8,5,6,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,48
57,52,4,6,2,4,2,1,1,2,2,4,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,228,33
58,52,13,5,4,6,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,136,36
59,52,8,6,6,3,2,2,3,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,35
60,51,11,8,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,30
61,52,12,4,9,4,1,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,40
62,52,5,6,6,5,2,2,0,0,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,177,34
63,50,8,5,2,3,1,3,2,4,1,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,37
64,52,11,7,1,3,2,1,3,2,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,199,38
65,51,5,3,7,4,3,1,4,1,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,203,36
66,53,10,6,2,3,2,6,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,36
67,54,3,5,2,4,4,3,1,1,1,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,193,31
68,52,11,7,5,2,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,31
69,53,13,6,6,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,32
70,52,9,8,5,1,3,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,33
71,51,9,10,5,5,3,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,42
72,54,7,13,4,5,4,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,39
73,52,8,4,7,7,1,6,1,3,2,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230,45
74,52,12,7,5,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,33
75,53,8,9,4,0,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,31
76,54,9,10,5,4,3,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,39
77,52,7,6,5,2,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,31
78,51,8,4,2,6,3,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,34
79,51,12,6,7,3,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,39
80,55,14,4,8,5,3,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,42
81,51,10,4,3,4,3,3,4,0,2,2,1,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,279,44
82,54,11,8,7,7,6,2,0,1,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,50
83,54,8,3,6,4,5,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,33
84,53,9,7,7,2,2,3,2,2,3,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,236,44
85,51,6,9,4,2,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,27
86,54,11,10,10,5,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,45
87,53,14,7,6,2,4,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,40
88,54,8,9,7,9,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,42
89,52,11,6,5,5,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,35
90,52,7,5,8,3,6,2,0,0,0,2,3,2,1,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,318,45
91,52,10,5,5,2,3,3,3,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,39
92,52,8,10,6,4,2,3,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,44
93,50,9,6,7,3,4,3,3,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,43
94,52,9,9,5,3,5,4,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,40
95,51,11,8,2,5,3,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145,37
96,53,10,6,7,1,4,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,222,38
97,52,7,4,4,8,2,3,4,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,39
98,50,9,7,3,2,3,2,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,33
99,54,8,8,6,4,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,37
100,53,12,10,7,4,2,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153,41
